OCV -300
GHT 120
SRA -180
ACT -300
MGB 570
RNS 120
IPT -240
PBO 480
CAI 120
KTM 345
BGM -240
CBQ 60
BHX 60
CCZ -240
WIN 600
BXU 480
JNX 180
BUA 600
WYS -360
GYM -420
BIQ 120
SFO -420
LIF 660
VPS -300
LSE -300
KDO 300
ABA 480
TLM 60
YGT -240
CPV -180
HVR -360
BXJ 360
MMZ 270
PND -360
CTM -300
SVA -480
CNJ 600
AUY 660
INI 120
PMQ -180
NNL -480
YGV -240
OYG 180
KHG 480
DIK -360
BDA -180
SEA -420
KVG 600
NBW -240
REU 120
RJK 120
SYJ 270
DVO 480
CJB 330
IUE -660
TAT 120
RMA 600
ATD 660
SOF 180
KFP -480
CAP -300
ZAM 480
SCN 120
KDV 720
ABE -240
PAP -300
IRJ -180
BHU 330
BTK 540
YMO -240
MOW 180
GMB 180
LLW 120
DLC 480
PLN -240
SHA 480
SMF -420
CPH 120
YNJ 480
CHY 660
RZS 300
SMK -480
MGS -600
GAX 60
GHB -240
HRE 120
PCL -300
SCK -420
SPP 60
FNJ 540
PPG -660
MST 120
JRB -240
YQT -240
NUS 660
DED 330
BGA -300
MMH -420
TIR 330
AKL 720
FSP -120
NWI 60
SXR 330
BJA 60
FOD -300
GOJ 240
LNO 480
BAV 480
LPP 180
IKA 270
AAA -600
ADJ 180
SUN -360
YAA -420
BDQ 330
MUA 660
NAS -240
MZO -240
COO 60
FFM -300
EUG -420
ISE 180
GDQ 180
KOY -480
TLT -480
XIL 480
BSK 60
VBY 120
ZYR 120
LIW 390
ZUM -180
ERM -180
MRZ 600
YES 270
NLA 120
LTT 120
STR 120
XQU -420
HBZ -300
HUS -480
INL -300
KAO 180
BNS -270
SHX -480
YKG -240
TZX 180
OLH -480
JIB 180
SYO 540
AGR 330
ASJ 540
CBB -240
TPE 480
BHG -360
ACH 120
LBE -240
TJM 360
ORI -480
KAC 180
OOK -480
CLE -240
JDH 330
UTP 7
BZR 120
MGH 120
SJE -300
TST 420
VSA -300
CKS -180
NOZ 420
ILP 660
YWL -420
DOY 480
GIB 120
TLE 180
NRK 120
CRA 180
PNP 600
HFT 120
LKN 120
TAP -300
MFR -420
PLX 360
CFK 60
PIW -300
BOM 330
SVJ 120
PDK -240
EUX -240
ESM -300
OIT 540
ELV -480
ISP -240
SSB -240
TUP -300
DIR 180
ZSE 240
HLH 480
JOK 120
BJU 345
ARV -300
IKS 600
NNG 480
PBP -360
MSJ 540
SFN -180
TSA 480
AUA -240
LNZ 120
ANX 120
TEB -240
KOT -480
TTT 480
HAV -240
MKX 180
BLT 600
CCC -240
SMX -420
NAP 120
VCV -420
SKH 345
LPK 240
SEN 60
BHH 180
UPN -300
BKS 420
AKF 120
RBY -480
YBC -240
CNF -180
VAV 780
UAS 180
LWY 480
YKU -240
STG -480
AEG 420
MBL -240
YPH -240
YST -300
GUA -360
XGR -240
TVF -300
MRB -240
YDQ -420
GOT 120
CTN 600
GCM -300
YHS -420
ALC 120
LED 180
HOU -300
FRE 660
MTH -240
KGI 480
STL -300
BIH -420
SBH -240
EJA -300
CGB -240
YVO -240
PQC 420
HFS 120
BRN 120
EYW -240
FAI -480
ALY 120
TZA -360
YCH -180
KUA 480
SOG 120
CUE -300
KVA 180
MTS 120
KZI 180
SPN 600
PEV 720
DLY 660
PPW 60
TTE 540
CSG -240
COU -300
TNA 480
KGJ 120
TME -300
AOR 480
IAA 480
UKS 180
UII -360
IVL 180
MWZ 180
ALL 120
RTB -360
ETZ 120
MYY 480
CPD 570
STW 240
MOD -420
SCV 180
LUO 60
KYK -480
HOP -300
AQI 180
PRG 120
SBW 480
MGZ 390
LPY 120
YBG -240
EAM 180
RMT -540
MXH 600
LBP 480
FNT -240
PNS -300
KLV 120
YNO -300
GRZ 120
UDJ 180
NYR 9
YSC -240
DAL -300
JQA -120
KAD 60
AFA -180
CJJ 540
NTE 120
JBR -300
ZEL -420
IMK 345
KZS 180
YVB -240
JFK -240
POW 120
CND 180
AAB 600
WAT 60
BUL 600
LKA 480
UIO -300
FRL 120
IGT 2
ABY -240
PGV -240
CLO -300
GUC -360
SPI -300
PDB -480
KBU 480
JSI 180
YOD -360
AAX -180
TIJ -420
ENY 480
INN 120
KJI 480
HBX 330
HID 600
RAJ 330
TUF 120
KNU 330
VDE 60
GDZ 240
VIT 120
GAL -480
LUN 120
OAG 600
KUK -480
ILG -240
IQN 480
SLW -300
LCA 180
OYE 60
RST -300
NLG -480
TIA 120
NDJ 60
ANM 180
VDB 120
BRS 60
JNU -480
BPX 480
SNR 120
HEH 390
BLQ 120
KMO -480
UIB -300
WNN -300
BQS 600
JZH 480
BRL -300
KPR -480
CGN 120
KCG -480
VDC -180
MOV 600
SAB -240
POR 180
LAP -360
NNB 660
SLA -180
TMM 180
BLA -270
PET -180
VCA 420
VCT -300
OVS 180
GSO -240
ALW -420
TGM 180
MFM 480
EZV 360
CYZ 480
JSY 180
YHP -300
PKA -480
CTL 600
CYB -300
HDD 300
KVK 240
HII -420
LLB 480
IBZ 120
XKS -300
AZO -240
IXP 330
EDL 180
SOC 420
FAH 270
TCX 270
HSG 540
TRU -300
YFB -240
LIL 120
ENF 180
TMX 60
MMY 540
LTN 60
SWT 420
RKA -540
UGI -480
FOR -180
ROP 600
GNB 120
LZC -300
ILD 120
BLJ 60
KAJ 180
VGZ -300
RVV -600
LRM -240
KID 120
KRS 120
YNZ 480
ORF -240
IFO 180
TSO 60
HHQ 420
BCD 480
MPA 60
WJA 720
WVL -240
MQM 180
LIH -600
LMC -300
LCJ 120
IMP -180
BQJ 720
PWE 720
EDA -480
EVG 120
XRY 120
USQ 180
DNK 180
CCV 660
YTH -300
GJA -360
EDO 180
BRW -480
WTP 600
YTL -300
NJC 360
LDG 240
XIC 480
MSR 180
HAH 180
OME -480
LSW 420
LCK -240
KYU -480
TKV -600
AWD 660
JUB 180
AQG 480
GYI 120
SLE -420
SFG -240
YHA -150
MJA 180
MCO -240
WJR 180
KHN 480
BTU 480
FRA 120
BDL -240
TWU 480
SCT 180
KUT 240
SAV -240
NME -480
SIR 120
DHN -300
EGX -480
ANU -240
UAK -120
EFL 180
MOU -480
MIM 600
NDY 60
KIN -300
SWJ 660
SFB -240
UTN 120
RMI 120
YKL -240
IOM 60
MIG 480
SVX 360
ABX 600
LBF -300
LYC 120
JIK 180
TKE -480
CYC -360
ENE 480
GZO 660
YGJ 540
KEB -480
SVQ 120
AXR -600
BVI 600
OAI 270
PPB -180
ZIA 180
PGH 330
DLU 480
ZNA -420
DLI 420
UNG 600
TCQ -300
MHH -240
KIX 540
MCZ -180
LPD -300
MLB -240
HOB -360
TEN 480
AVV 600
NCY 120
EWN -240
KOW 480
QUB 120
TEZ 330
MAZ -240
RVE -300
AMI 480
KWJ 540
BDS 120
CFG -240
WSZ 720
AXD 180
TJU 300
LNK -300
KRP 120
LPT 420
FRO 120
SCZ 660
LDH 600
LIR -360
GJT -360
OGZ 240
LCR -300
DTM 120
BNA -300
PPK 360
AOI 120
HZH 480
NVA -300
HLN -360
KAE -480
CVO -420
FEG 300
CUN -300
YMN -180
PHE 480
ILI -480
RMS 120
CPE -300
HIB -300
KTB -480
TRZ 330
PUQ -240
KNQ 660
TVC -240
UST -240
LJU 120
DBQ -300
YPT -420
STV 330
XNY -240
MHQ 180
CRC -300
KRF 120
HDS 120
STT -240
YQQ -420
ATY -300
YGP -240
SOB 120
CKD -480
FPO -240
YXD -360
OSI 120
KUL 480
VBS 120
KIK 180
KSU 120
YGZ -240
PEN 480
YQU -360
ZNZ 180
DCA -240
GCC -360
VTZ 330
ZMT -420
HAN 420
NAQ -120
HLA 120
HAJ 120
JKR 345
KXA -480
OVB 420
WWK 600
MHR -420
DKA 60
MLY -480
BNI 60
RSW -240
REL -180
EXT 60
JUM 345
KUH 540
LDS 480
SYZ 270
GWL 330
VUP -300
DMD 600
KTE 480
VPE 60
MEC -300
IQQ -240
KKQ 360
BRT 570
JDO -180
RSA -180
RBL -420
JTY 180
HMO -420
PLU -180
IXE 330
OKO 540
TKJ -480
SCW 240
CVN -360
SYD 600
POL 120
JCA 120
PLM 420
HIS 600
EAS 120
KOA -600
CGA -480
AJL 330
AAM 120
LDU 480
ENA -480
LBD 300
FCA -360
POA -180
HDY 420
IXI 330
TAY 180
YFS -360
AJR 120
CTC -180
SOQ 540
CZS -240
THL 390
MJT 180
GRI -300
ALF 120
LFR -270
MLA 120
BSD 480
ADL 570
PNZ -180
MXL -420
ACR -300
LOS 60
LXG 420
LPS -420
HMA 360
DPA -300
FMM 120
KMY -480
KSA 660
ADQ -480
CPT 120
LIM -300
KRK 120
MYW 180
ATN 600
SRG 420
YGH -360
NRN 120
POG 60
TRG 720
ZSF 480
PDA -300
PYH -270
BEU 600
EAT -420
PKK 390
EGO 240
JWN 270
CLT -240
YLC -240
BVB -240
LMM -360
KDI 480
RMP -480
BVC -60
AJF 180
KCM 180
BMU 480
OLF -360
HAK 480
ELM -240
ANF -240
DUT -480
ULP 600
MZT -360
VGO 120
ELH -240
WMK -480
YTQ -240
NBS 480
PMO 120
NGQ 480
TCT -480
BSL 120
MVY -240
SPR -360
KCZ 540
ACY -240
MWK 420
KCQ -480
TNR 180
UVF -240
CMX -240
VRK 180
UGB -480
TUK 300
DUM 420
SKE 120
ATL -240
OTP 180
GBB 5
PNI 660
MBS -240
SXL 60
NDG 480
KLG -480
PIF 480
JST -240
MCX 240
SKT 300
TRS 120
CBO 480
WBB -480
PSR 120
YHY -360
JAU -300
YWK -180
IXR 330
OIM 540
FMO 120
FLN -180
KIH 270
SZB 480
COQ 480
BUS 240
ULN 480
BSX 390
DAU 600
IEG 120
GPB -180
BME 480
GZP 180
UTU -300
MFK 480
SBP -420
VLC 120
NYO 120
BEG 120
XMH -600
MDZ -180
ABZ 60
OAM 720
YAJ -420
XBR -240
MAD 60
MRQ 480
AMD 330
TTN -240
KSN 360
YAG -300
MZG 480
YRL -300
MOZ -600
YHZ -180
HMB 120
THR 270
MBA 180
SCY -360
ATW -300
BKY 120
SCO 300
AKY 390
MXS 780
AGP 120
ORK 60
YUT -300
TOS 120
CRP -300
FRG -240
CWL 60
LZH 480
KLH 330
DGT 480
SLK -240
GFK -300
ARM 600
PER 480
KPO 540
UIH 420
YWB -240
BGC 60
KSD 120
YUB -360
YMP -420
TBH 480
TSJ 540
JDR -180
YDS -420
CJA -300
PCR -300
RGN 390
BJM 120
IFN 270
VXC 120
KKN 120
MYT 390
KOJ 540
DNR 120
DHB -420
